entity_id	mvo_type	preferred_label	preferred_label_norm	notes
ent_material_08b6e9cce852	MATERIAL	στάχυς	σταχυς	
ent_material_1487381456eb	MATERIAL	Νάρδου στάχυς	ναρδου σταχυς	
ent_material_28f71bcf1399	MATERIAL	σπέρμα	σπερμα	
ent_material_32e806ce3a4c	MATERIAL	Αἷμα	αιμα	
ent_material_3f7556ac30b7	MATERIAL	ἴρεως	ιρεως	
ent_material_4206b4ac09f7	MATERIAL	ἧπαρ	ηπαρ	
ent_material_870f94b4373b	MATERIAL	σώματος	σωματος	
ent_material_a87d18808b21	MATERIAL	χυμοῦ	χυμου	
ent_material_acc896f2b390	MATERIAL	Νάρδου	ναρδου	
ent_material_bdd02d68c3a5	MATERIAL	Κάρου	καρου	
ent_material_e6d8054e2d56	MATERIAL	ἰχῶρος	ιχωρος	
ent_material_ea98496db6d0	MATERIAL	Αἴρα	αιρα	
