entity_id	mvo_type	preferred_label	preferred_label_norm	notes
ent_property_0b268ffea27b	PROPERTY	ποιότητος	ποιοτητος	
ent_property_14180b140b48	PROPERTY	δριμέων	δριμεων	
ent_property_3985cec2079f	PROPERTY	μελαντέρα	μελαντερα	
ent_property_44d272cd5cbb	PROPERTY	κράσεως	κρασεως	
ent_property_5242e43bcf98	PROPERTY	δριμεῖαν	δριμειαν	
ent_property_826e8a0a918b	PROPERTY	μελαγχολικὸν	μελαγχολικον	
ent_property_cdf7973007b5	PROPERTY	ὑγρότερόν	υγροτερον	
ent_property_d9655840dac1	PROPERTY	λεπτομερὴς	λεπτομερης	
ent_property_d9a4291407a0	PROPERTY	θερμὸν	θερμον	
ent_property_e46367755e07	PROPERTY	οὐρητικὸν	ουρητικον	
ent_property_f5f94c161b9a	PROPERTY	ἀμίκτων	αμικτων	
