entity_id	preferred_label	variant	variant_norm	notes
ent_material_08b6e9cce852	στάχυς	στάχυς	σταχυς	
ent_material_1487381456eb	Νάρδου στάχυς	Νάρδου στάχυς	ναρδου σταχυς	
ent_material_28f71bcf1399	σπέρμα	σπέρμα	σπερμα	
ent_material_32e806ce3a4c	Αἷμα	Αἷμα	αιμα	
ent_material_3f7556ac30b7	ἴρεως	ἴρεως	ιρεως	
ent_material_4206b4ac09f7	ἧπαρ	ἧπαρ	ηπαρ	
ent_material_870f94b4373b	σώματος	σώματος	σωματος	
ent_material_a87d18808b21	χυμοῦ	χυμοῦ	χυμου	
ent_material_acc896f2b390	Νάρδου	Νάρδου	ναρδου	
ent_material_bdd02d68c3a5	Κάρου	Κάρου	καρου	
ent_material_e6d8054e2d56	ἰχῶρος	ἰχῶρος	ιχωρος	
ent_material_ea98496db6d0	Αἴρα	Αἴρα	αιρα	
