entity_id	preferred_label	variant	variant_norm	notes
ent_property_0b268ffea27b	ποιότητος	ποιότητος	ποιοτητος	
ent_property_14180b140b48	δριμέων	δριμέων	δριμεων	
ent_property_3985cec2079f	μελαντέρα	μελαντέρα	μελαντερα	
ent_property_44d272cd5cbb	κράσεως	κράσεως	κρασεως	
ent_property_5242e43bcf98	δριμεῖαν	δριμεῖαν	δριμειαν	
ent_property_826e8a0a918b	μελαγχολικὸν	μελαγχολικὸν	μελαγχολικον	
ent_property_cdf7973007b5	ὑγρότερόν	ὑγρότερόν	υγροτερον	
ent_property_d9655840dac1	λεπτομερὴς	λεπτομερὴς	λεπτομερης	
ent_property_d9a4291407a0	θερμὸν	θερμὸν	θερμον	
ent_property_e46367755e07	οὐρητικὸν	οὐρητικὸν	ουρητικον	
ent_property_f5f94c161b9a	ἀμίκτων	ἀμίκτων	αμικτων	
